=== Sheet1 === (1006x26)
Смета на видеопроизводство |  |  |  |  | Смета на видеопроизводство |  |  |  |  | Смета на видеопроизводство |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Проект: 8Bit x BYD TVC |  |  |  |  | Проект: 8Bit x BYD Photo Unit |  |  |  |  | Проект: 8Bit x BYD (Обзорные ролики) |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Дата: 00.00.2026 |  |  |  |  | Дата: 00.00.2026 |  |  |  |  | Дата: 00.00.2026 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Продакшн: Anor Bureau Production |  |  |  |  | Продакшн: Anor Bureau Production |  |  |  |  | Продакшн: Anor Bureau Production |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Смета составлена с учетом 2 смены с переработками до 24 часов, соответсвенно проект будет стоить около 890 112 000 сум |  |  |  |  | Смета составлена с учетом 3 смены с переработками до 24 часов, соответсвенно проект будет стоить около 676 368 000 сум |  |  |  |  | Смета составлена с учетом 2 смены с переработками до 24 часов, соответсвенно проект будет стоить около 687 348 000 сум |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
1. Pre-Production |  |  |  |  | 1. Pre-Production |  |  |  |  | 1. Pre-Production |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Статья расходов | Единица времени | Ставка за единицу | Сумма |  | Статья расходов | Единица времени | Ставка за единицу | Сумма |  | Статья расходов | Единица времени | Ставка за единицу | Сумма |  |  |  |  |  |  |  |  |  |  |  | 
Продюсерская группа - $8 000 |  |  |  |  | Продюсерская группа - $5 500 |  |  |  |  | Продюсерская группа - $7 000 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Креатив | 1.0 | 4000.0 | 4000 |  | Креатив | 1.0 | 2000.0 | 2000 |  | Креатив | 1.0 | 3000.0 | 3000 |  |  |  |  |  |  |  |  |  |  |  | 
Исполнительный продюсер | 1.0 | 3000.0 | 3000 |  | Исполнительный продюсер | 1.0 | 2500.0 | 2500 |  | Исполнительный продюсер | 1.0 | 3000.0 | 3000 |  |  |  |  |  |  |  |  |  |  |  | 
Линейный продюсер | 1.0 | 1000.0 | 1000 |  | Линейный продюсер | 1.0 | 1000.0 | 1000 |  | Линейный продюсер | 1.0 | 1000.0 | 1000 |  |  |  |  |  |  |  |  |  |  |  | 
2. Production (съемочный процесс) |  |  |  |  | 2. Production (съемочный процесс) |  |  |  |  | 2. Production (съемочный процесс) |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Статья расходов | Единица времени | Ставка за единицу | Сумма |  | Статья расходов | Единица времени | Ставка за единицу | Сумма |  | Статья расходов | Единица времени | Ставка за единицу | Сумма |  |  |  |  |  |  |  |  |  |  |  | 
Режиссерская группа - $15 800 |  |  |  |  | Режиссерская группа - $8 625 |  |  |  |  | Режиссерская группа - $11 100 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Режиссер | 1.0 | 5000.0 | 5000 |  | Арт директор | 1.0 | 3000.0 | 3000 |  | Режиссер | 1.0 | 5000.0 | 5000 |  |  |  |  |  |  |  |  |  |  |  | 
1AD | 2.0 | 1200.0 | 2400 |  | 1AD | 3.0 | 600.0 | 1800 |  | 1AD | 2.0 | 600.0 | 1200 |  |  |  |  |  |  |  |  |  |  |  | 
Художник постановщик | 2.0 | 700.0 | 1400 |  | Художник постановщик | 1.0 | 1800.0 | 1800 |  | Художник постановщик | 2.0 | 700.0 | 1400 |  |  |  |  |  |  |  |  |  |  |  | 
